,batting_team,bowling_team,current_score,wickets_left,crr,city,balls_left,last_five,target
45217,England,Pakistan,36,9,7.2,Dubai,90,36.0,173
46820,New Zealand,India,78,6,5.71,Nagpur,38,28.0,127
23256,New Zealand,Sri Lanka,24,9,6.55,Colombo,98,24.0,142
26662,New Zealand,Australia,187,4,10.29,Christchurch,11,76.0,215
25642,New Zealand,England,68,7,6.18,St Lucia,54,29.0,150
3756,New Zealand,West Indies,16,10,13.71,Mount Maunganui,113,16.0,244
10177,India,Bangladesh,14,9,6.0,Delhi,106,14.0,149
45469,England,Pakistan,48,10,8.73,Manchester,87,47.0,136
44317,Sri Lanka,Pakistan,164,4,8.48,Colombo,4,53.0,173
45828,Pakistan,New Zealand,23,10,6.0,Auckland,97,23.0,172
18833,England,New Zealand,120,6,8.67,Christchurch,37,43.0,194
22476,India,New Zealand,132,3,7.47,Christchurch,14,33.0,163
43450,England,South Africa,167,1,8.71,Johannesburg,5,36.0,172
28355,Pakistan,New Zealand,94,3,6.56,Auckland,34,25.0,144
44666,South Africa,Australia,132,7,8.16,Cape Town,23,38.0,179
49444,India,Bangladesh,4,10,3.0,Mirpur,112,4.0,167
14665,South Africa,Australia,184,7,9.68,Johannesburg,6,57.0,202
34419,West Indies,Australia,57,10,10.06,Barbados,86,47.0,161
20783,India,West Indies,12,9,7.2,London,110,12.0,154
35664,England,New Zealand,63,9,9.95,Auckland,82,50.0,215
19698,England,West Indies,63,8,7.56,Trinidad,70,37.0,122
19391,South Africa,Australia,136,5,7.42,Centurion,10,52.0,157
25267,West Indies,India,67,10,6.59,Barbados,59,40.0,170
9496,Pakistan,Australia,60,8,6.55,Sydney,65,29.0,108
15025,Sri Lanka,New Zealand,109,2,6.35,Auckland,17,48.0,116
17533,India,South Africa,2,10,4.0,Durban,117,2.0,154
47580,South Africa,Afghanistan,185,6,9.82,Mumbai,7,63.0,210
4994,India,South Africa,37,9,12.33,Johannesburg,102,37.0,204
1733,West Indies,Pakistan,103,5,5.15,Abu Dhabi,0,28.0,104
7108,South Africa,Sri Lanka,20,10,5.22,Johannesburg,97,20.0,199
7318,Australia,India,109,3,6.23,Melbourne,15,38.0,133
18603,West Indies,South Africa,91,4,5.69,Johannesburg,24,40.0,132
2028,New Zealand,England,55,9,8.05,Wellington,79,38.0,197
7902,Pakistan,England,93,8,8.09,Cardiff,51,53.0,174
9270,Australia,Sri Lanka,130,9,10.68,Adelaide,47,64.0,234
29594,Sri Lanka,Australia,118,7,8.96,Pallekele,41,47.0,158
34180,Pakistan,Bangladesh,55,9,7.67,Mirpur,77,39.0,136
13867,South Africa,England,89,8,8.22,Cape Town,55,32.0,180
7778,Bangladesh,West Indies,105,6,8.75,Lauderhill,48,29.0,185
32552,India,Australia,85,5,6.46,Colombo,41,25.0,141
19821,Australia,West Indies,53,7,6.24,London,69,32.0,170
50014,Pakistan,Bangladesh,92,6,5.69,Mirpur,23,50.0,130
43926,New Zealand,South Africa,145,6,8.61,Centurion,19,41.0,178
40872,West Indies,Pakistan,52,8,6.24,Mirpur,70,31.0,167
39947,Australia,West Indies,5,10,3.75,Mirpur,112,5.0,179
33622,Sri Lanka,Pakistan,35,10,5.53,Colombo,82,23.0,140
23931,Pakistan,Bangladesh,138,10,9.2,St Lucia,30,58.0,173
10380,India,Bangladesh,137,7,8.65,Nagpur,25,50.0,175
16117,Bangladesh,South Africa,108,4,7.71,Cape Town,36,17.0,145
14300,Sri Lanka,England,4,10,6.0,Southampton,116,4.0,164
10910,New Zealand,India,101,9,9.32,Auckland,55,39.0,204
47357,Pakistan,India,1,10,6.0,Kolkata,119,1.0,119
41482,Pakistan,South Africa,44,8,6.0,Cape Town,76,36.0,177
41842,South Africa,West Indies,33,8,6.0,Cape Town,87,26.0,166
44781,India,Australia,119,8,8.21,Adelaide,33,42.0,189
46528,South Africa,Sri Lanka,40,8,6.86,Johannesburg,85,36.0,114
27695,Australia,England,39,9,8.36,Melbourne,92,39.0,148
48428,South Africa,West Indies,102,4,6.24,Nagpur,22,32.0,123
45706,Sri Lanka,New Zealand,25,9,5.77,Auckland,94,25.0,143
14546,West Indies,New Zealand,124,3,6.2,Auckland,0,43.0,127
6570,South Africa,Pakistan,182,5,9.75,Cape Town,8,45.0,193
26080,Pakistan,Australia,2,10,1.33,St Lucia,111,2.0,192
13289,Australia,India,163,8,9.14,Sydney,13,49.0,187
13379,West Indies,New Zealand,114,5,10.21,Auckland,53,51.0,181
37599,England,West Indies,38,7,4.96,Barbados,74,24.0,153
27014,Pakistan,New Zealand,114,6,7.6,Dubai,30,39.0,154
24995,New Zealand,Pakistan,44,8,6.6,Barbados,80,24.0,134
29819,Australia,India,61,6,6.42,Melbourne,63,31.0,132
15438,West Indies,South Africa,46,10,9.2,Johannesburg,90,42.0,206
9902,Australia,South Africa,169,5,9.3,Johannesburg,11,40.0,197
652,South Africa,England,41,7,7.24,Southampton,86,34.0,143
37053,Sri Lanka,Bangladesh,179,5,9.59,Pallekele,8,63.0,199
23541,West Indies,Australia,59,6,6.0,Sydney,61,25.0,139
40648,Sri Lanka,New Zealand,73,6,6.0,Chittagong,47,30.0,120
24212,South Africa,Afghanistan,8,10,12.0,Barbados,116,8.0,140
17753,New Zealand,Pakistan,106,5,6.77,Cape Town,26,32.0,144
43867,New Zealand,South Africa,68,9,9.07,Centurion,75,55.0,178
21504,Sri Lanka,New Zealand,157,5,7.92,Nottingham,1,49.0,159
6844,Sri Lanka,South Africa,7,9,3.82,Cape Town,109,7.0,135
36875,India,Pakistan,77,10,7.22,Bangalore,56,41.0,134
6910,Sri Lanka,South Africa,79,5,6.24,Cape Town,44,24.0,135
9692,South Africa,England,75,10,11.54,Centurion,81,63.0,223
38790,New Zealand,Bangladesh,129,8,9.8,Mirpur,41,52.0,205
11419,India,New Zealand,104,8,7.7,Mount Maunganui,39,40.0,164
48472,New Zealand,Bangladesh,24,10,6.55,Kolkata,98,24.0,146
14639,South Africa,Australia,134,9,9.14,Johannesburg,32,51.0,202
50403,Sri Lanka,Australia,38,9,8.14,Colombo,92,38.0,129
25195,England,South Africa,150,4,8.11,Barbados,9,36.0,169
41198,India,Sri Lanka,4,10,4.0,Mirpur,114,4.0,131
40295,South Africa,England,137,7,8.14,Chittagong,19,40.0,197
